Archipelago	state	inselberg	Long	Lat	bio_1	bio_2	bio_3	bio_4	bio_5	bio_6	bio_7	bio_8	bio_9	bio_10	bio_11	bio_12	bio_13	bio_14	bio_15	bio_16	bio_17	bio_18	bio_19	pet	aridity	srad	altitude	area	log_area	isolation1 	isolation5	isolation15	dist_coast	A1	A2	A3	A4
A3	ES	aguiabranca	-40.777778	-19.005972	234	109	68	1516	313	153	160	247	215	254	215	1168	194	27	63	568	95	400	102	1611	7225	15295.41	162	2.51	0.399673721	0	27	156	109.49	0	0	1	0
A4	MG	baleia	-40.995722	-17.827583	229	111	68	1586	309	147	162	243	207	248	207	1071	181	29	58	496	103	341	103	1628	6492	15381.33	301	1.12	0.049218023	2	53	101	185.07	0	0	0	1
A4	MG	boca	-41.18475	-17.929361	210	112	67	1571	292	125	167	223	189	228	187	1156	187	30	60	548	104	387	110	1527	7635	15245.66	283	2.34	0.369215857	1	41	139	188.73	0	0	0	1
A2	ES	burarama	-41.352917	-20.648417	217	116	64	1891	304	124	180	234	194	239	191	1194	205	25	61	571	91	412	111	1574	7611	15274.41	345	0.15	-0.823908741	5	27	113	92.28	0	1	0	0
A4	MG	caladao	-41.000889	-17.861833	239	112	68	1589	320	156	164	253	217	258	217	1032	178	25	61	488	91	330	91	1649	6318	15434	243	1.06	0.025305865	2	29	100	183.83	0	0	0	1
A3	ES	camelo	-40.8065	-19.238806	244	110	67	1570	323	161	162	257	224	264	224	1155	198	24	65	573	86	398	96	1647	7043	15330.58	102	1.61	0.206825876	1	8	73	115.91	0	0	1	0
A4	MG	cassio	-41.262078	-17.856656	222	114	67	1594	305	136	169	236	200	240	200	1107	185	26	63	538	91	371	98	1605	6897	15384.25	333	1.55	0.190331698	0	10	118	211.68	0	0	0	1
A1	RJ	chacrinha	-43.181806	-22.962917	231	74	55	1928	299	166	133	254	207	257	207	1330	155	60	31	452	189	448	189	1290	10372	14900.58	12	0.19	-0.721246399	1	13	43	2.23	1	0	0	0
A3	ES	colina	-40.876778	-19.231028	219	111	66	1603	300	133	167	232	199	238	197	1243	208	28	63	605	100	432	109	1557	7996	15115.16	452	1.84	0.264817823	1	15	64	122.78	0	0	1	0
A1	RJ	doisirmaos	-43.239778	-22.990556	223	82	56	2011	295	150	145	248	198	250	198	1397	174	57	35	497	184	488	184	1325	10513	14819.16	8	0.83	-0.080921908	0	8	29	1.21	1	0	0	0
A3	ES	figueira	-40.553639	-18.653306	238	105	69	1459	313	161	152	249	218	257	218	1115	180	31	57	513	110	362	110	1591	7008	15294.08	115	1.49	0.173186268	2	13	72	86.83	0	0	1	0
A1	RJ	gavea	-43.282944	-22.999	216	88	57	2044	292	138	154	241	190	243	190	1484	197	55	40	559	180	537	180	1347	10794	14590.66	6	0.72	-0.142667504	2	8	23	2.86	1	0	0	0
A1	RJ	itacoatiara	-43.019833	-22.973278	221	83	56	2057	294	147	147	246	195	249	195	1370	177	55	38	502	173	482	173	1327	10361	15437.5	7	0.38	-0.420216403	1	7	29	0.31	1	0	0	0
A2	RJ	itaoca	-41.455611	-21.789611	235	96	58	2045	317	152	165	250	208	262	208	1072	180	26	54	467	88	351	88	1472	7472	14911.58	10	3.43	0.53529412	0	1	1	45.39	0	1	0	0
A1	RJ	macumba	-43.47	-23.031	234	85	56	2067	308	158	150	262	208	262	208	1243	156	46	38	449	149	449	149	1384	8981	14932.91	3	0.14	-0.853871964	0	4	21	0.19	1	0	0	0
A4	MG	marilu	-41.241747	-17.784014	232	115	68	1595	315	146	169	246	210	251	210	1062	181	24	65	518	85	352	85	1649	6452	15443.5	277	0.12	-0.920818754	0	7	72	215.75	0	0	0	1
A2	RJ	pedradasede	-41.648778	-21.752972	228	102	58	2187	311	137	174	246	199	256	199	1115	193	24	58	502	87	387	87	1502	7450	14790.75	52	0.14	-0.853871964	1	17	47	64.93	0	1	0	0
A3	ES	pedradoelefante	-40.456722	-18.769056	223	103	68	1489	298	147	151	235	204	243	204	1195	185	36	53	535	130	384	130	1516	7922	15324.5	110	2.1	0.322219295	3	15	50	74.77	0	0	1	0
A2	ES	pedradoplato	-41.386167	-20.643639	193	118	64	1838	280	97	183	209	171	214	167	1308	218	27	60	619	102	465	123	1476	8976	15087.08	852	0.14	-0.853871964	3	26	110	95.39	0	1	0	0
A2	RJ	riopreto5km	-41.635083	-21.741556	232	101	58	2192	315	141	174	249	202	259	202	1088	190	24	58	490	84	374	84	1512	7208	14872.91	35	0.13	-0.886056648	0	21	38	63.36	0	1	0	0
A3	ES	saogabriel	-40.46875	-18.803861	238	103	68	1482	314	163	151	250	218	258	218	1137	182	32	56	521	114	368	114	1574	7274	15354.16	150	0.35	-0.455931956	1	13	56	76.06	0	0	1	0
A4	MG	sinval	-41.198592	-17.780447	233	115	68	1608	315	147	168	246	210	252	210	1055	180	24	64	510	86	347	86	1655	6368	15458.66	255	0.49	-0.30980392	2	14	102	211.13	0	0	0	1
A1	RJ	urca	-43.163	-22.950944	234	73	55	1930	302	170	132	260	211	260	211	1274	147	57	32	431	179	431	179	1284	10046	15208.58	0	0.28	-0.552841969	2	11	35	1.41	1	0	0	0
A3	ES	veadinho	-40.582639	-18.644	241	105	69	1456	316	164	152	252	221	260	221	1104	180	30	57	512	106	360	106	1590	7037	15246.83	145	1.98	0.29666519	0	16	81	88.54	0	0	1	0
