Archipelago	state	inselberg	Acianthera_prolifera	Aechmea_nudicaulis	Alcantarea_longibracteata	Alcantarea_trepida	Alcantarea_affextensa	Alcantarea_glaziouana	Alcantarea_nigripetala	Alcantarea_sp	Alcantarea_affturgida	Alcantarea_patriae	Alcantarea_roberto-kautskyi	Alcantarea_simplicisticha	Alcantarea_extensa	Anthurium_coriaceum	Anthurium_microphyllum	Anthurium_mucuri	Anthurium_spnov	Anthurium_sucrii	Apochloa_lutzii	Axonopus_graniticola	Barbacenia_gaveensis	Barbacenia_purpurea	Barbacenia_tomentosa	Brasiliorchis_cfmarginata	Brassavola_tuberculata	Bulbostylis_capillaris	Bulbostylis_lagoensis	Bulbostylis_truncata	Cheilanthes_geraniifolia	Cheilanthes_goyazensis	Coleocephalocereus_buxbaumianus	Coleocephalocereus_decumbens	Coleocephalocereus_fluminensis	Coleocephalocereus_pluricostatus	Commelina_benghalensis	Commelina_sp1	Commelina_sp2	Commelina_sp3	Fimbristylis_sp	Cyperus_coriifolius	Cyperus_hermafroditus	Cyperus_pohlii	Cyrtopodium_glutiniferum	Doryopteris_collina	Doryopteris_varians	Encholirium_gracile	Encholirium_horridum	Encholirium_affgracile1	Encholirium_affgracile3	Encholirium_affgracile2	Encyclia_spiritusanctensis	Epidendrum_denticulatum	Epidendrum_secundum	Epidendrum_sp	Euphorbia_comosa	Euphorbia_holochlorina	Furcraea_foetida	Hatiora_salicornioides	Ichnanthus_cfbambusiflorus	Kalanchoe_delagoensis	Maxillaria_cfpicta	Melinis_minutiflora	Melinis_repens	Pseudolaelia_sp	Orthophytum_compactum	Orthophytum_sp1	Orthophytum_sp2	Orthophytum_horridum	Orthophytum_gurkenii	Philodendron_edmundoi	Pilosocereus_brasiliensis	Pitcairnia_albiflos	Pitcairnia_azouryi	Pitcairnia_barbatostigma	Pitcairnia_flammea	Pitcairnia_staminea	Pitcairnia_affbarbatostigma	Aristida_sp	Ichnanthus_sp	Portulaca_hirsutissima	Prescottia_cfspiranthophylla	Prescottia_sp1	Pseudolaelia_geraensis	Pseudolaelia_vellozicola	Rhipsalis_cereoides	Rhipsalis_sp1	Rhynchospora_sp	Scleria_sp2	Scleria_sp1	Scleria_spnov	Selaginella_convoluta	Selaginella_sellowii	Setaria_sp1	Setaria_sp2	Syagrus_ruschiana	Tillandsia_araujei	Tillandsia_brachyphylla	Tillandsia_loliacea	Trilepis_lhotzkiana	Trilepis_microstachya	Vellozia_affcandida	Vellozia_affhirssuta	Vellozia_candida	Vellozia_plicata	Vellozia_variegata	Stigmatodon_affapparicianus	Stigmatodon_brassicoides	Stigmatodon_costae	Vriesea_neoglutinosa	Vriesea_procera
A3	ES	aguiabranca	0	0	0	0	0	0	29.3	0	0	0	0	1.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.633333333	0	0	5.7	0.033333333	0	0	0	0	0	0	0.4	0	0	0	0.166666667	0	0	0	0	2.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.866666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.066666667	1.6	0	0	0	0	0	0	8.133333333	0	0	11.9	0	0	0	0	0	0	0	0
A4	MG	baleia	0	0	0	0	0	0	0	0	0	0	0	0	10.43333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9	1.566666667	3.733333333	0	0.2	0	0	0	0	0	0	0.333333333	0	0	0	7.333333333	0	0	0	0.133333333	0	0	0	0	4.766666667	0	0	0	0	0	0	0	0	0	3.133333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0.033333333	0	0	0	0	0	0	0	0	0	0	4.9	9.6	0	0	0	0	0	0	0.066666667	0	5.166666667	0	0	21.36666667	0	0	0	0	0	0
A4	MG	boca	0	0	0	0	0	0	0	3.666666667	0	0	0	14.3	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	2.033333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166666667	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.233333333	0	19.2	0	0	0	0	0	0	0	0	0
A2	ES	burarama	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0.333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	1.266666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.366666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.53333333	0	0	9.633333333	1.966666667	0	0	0	0	0	0	0	0	0	0	4.8	0	0	0	0	0	0	0
A4	MG	caladao	0	0	0	0	0	0	0	0	0	0	0	0	8.833333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.733333333	0	0	10.96666667	1.666666667	0	0	0	0	0	0	0.333333333	0	0	0	0	0	0	10	0	0	0	0.666666667	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.066666667	0	0	0	0	0	0	4.333333333	0	2.6	0	0	14.66666667	0	0	0	0	0	0
A3	ES	camelo	0	0	0	0	0	0	0	0	0	0	0	7.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.6	0	0	0	9.1	0	0	0	0	0	0	0	0	0	0	0.6	0	0	16.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	30.9	0	0	0	0	0	0	1.133333333	0	0	0	0	0	0	0	0	0	0	0
A4	MG	cassio	0	0	0	0	0	0	0	0	0	0	0	12.33333333	0	0	0	1.466666667	0	0	0	0	0	2	12.33333333	0	0	0	0	0	0	0	5.5	0	0	0	0	0	0	0	0	0.5	0	0	0	0.4	0	23.43333333	0	0	0	0	2.5	0	0	0	0	0	0	0	0	0	0	0	0.166666667	0	0.833333333	0	0	0	0	3.533333333	0.766666667	0	1.733333333	0	0	0	0	0	0	0.166666667	0	0	0	0	0	0	0	0	0	0	11.7	5.066666667	0	0	0	0	0	0	0.666666667	0	0	4.5	0	18.23333333	0	0	0	0	3.5	0
A1	RJ	chacrinha	0	0	0	0	0	9.166666667	0	0	0	0	0	0	0	0	0	0	0	0.666666667	0	0	0	29.93333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.233333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.166666667	0	1.233333333	0	0	19.13333333	0	0	0	2.666666667	0	0	0	0	1.133333333	0	0
A3	ES	colina	0	0	6.966666667	0	0	0	0	0	0	0	0	3.8	0	0	0	0	0	0	0	2.666666667	0	0	0	0	0	0	0	0	0	0	0	0	0.633333333	0	0	0	0	0	0	2.333333333	0	0	0.8	0.2	0	0	29.56666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.433333333	0	0	0	2.9	0	0	0	0	0	0.266666667	0	0	0	0	0	0	0	0	0	0	15.06666667	1	0	0	0	0	0	0	0.2	0	0	0	0	0.566666667	0	0	0	0	0	0
A1	RJ	doisirmaos	0	0	0	0	0	0	0	0	0	0	0	0	0	1.866666667	0	0	0	0	0	0	0	0	0	0	0.866666667	0	0	0	0	0	0	0	2.633333333	0	0	0	0	0	0	0	0	0	0	0.333333333	0	0	0	0	0	0	0	0	3.133333333	0	0	0	0	0	0	0	0	1.633333333	0	0	0	0	0	0	0	0	0	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	19.96666667	0	0	0	2.733333333	0	0	27.3	0	0	0	19.63333333	0	0	0	0	0	0	0.666666667
